file	path	english	machine_santali	reviewed_by	corrected_santali
src/scenarios/gas-confined-space.json	$.props[0].label	Settling sump opening	ᱥᱮᱴᱞᱤᱝ ᱥᱚᱢᱯ ᱠᱷᱩᱡᱽ		
src/scenarios/gas-confined-space.json	$.props[1].label	Confined space warning board	ᱨᱩᱡᱩ ᱡᱟᱭᱜᱟ ᱦᱩᱥᱤᱭᱟᱨ ᱵᱳᱨᱰ		
src/scenarios/gas-confined-space.json	$.props[2].label	Work permit board	ᱠᱟᱹᱢᱤ ᱯᱟᱨᱢᱤᱴ ᱵᱳᱨᱰ		
src/scenarios/gas-confined-space.json	$.props[3].label	Portable ventilation blower	ᱟᱛ ᱪᱮᱛᱟᱱ ᱦᱟᱣᱟ ᱵᱞᱚᱣᱟᱨ		
src/scenarios/gas-confined-space.json	$.props[4].label	Four-gas detector	ᱟᱠᱟᱛ-ᱜᱮᱥ ᱰᱤᱴᱮᱠᱴᱚᱨ		
src/scenarios/gas-confined-space.json	$.props[5].label	Spare gas detector	ᱮᱴᱟᱜ ᱜᱮᱥ ᱰᱤᱴᱮᱠᱴᱚᱨ		
src/scenarios/gas-confined-space.json	$.props[6].label	Detector readout	ᱰᱤᱴᱮᱠᱴᱚᱨ ᱨᱤᱰᱤᱝ		
src/scenarios/gas-confined-space.json	$.props[7].label	Breathing apparatus	ᱥᱟᱶᱥ ᱡᱚᱛᱚᱱ		
src/scenarios/gas-confined-space.json	$.props[8].label	Full-body harness	ᱚᱲᱟᱜ-ᱦᱳᱨ ᱦᱟᱨᱱᱮᱥ		
src/scenarios/gas-confined-space.json	$.props[9].label	Retrieval line and tripod	ᱟᱹᱰᱤ ᱠᱚᱨᱮᱭᱟᱜ ᱞᱟᱭᱤᱱ ᱟᱨ ᱴᱨᱟᱭᱯᱚᱰ		
src/scenarios/gas-confined-space.json	$.props[10].label	Standby person	ᱥᱴᱮᱸᱰᱵᱟᱭ ᱦᱳᱲ		
src/scenarios/gas-confined-space.json	$.props[11].label	Shift supervisor	ᱥᱤᱯᱷᱴ ᱥᱩᱯᱚᱨᱵᱟᱭᱡᱚᱨ		
src/scenarios/gas-confined-space.json	$.props[12].label	Radio to control room	ᱠᱚᱱᱴᱨᱚᱞ ᱨᱩᱢ ᱞᱟᱹᱜᱤᱫ ᱨᱮᱰᱤᱭᱳ		
src/scenarios/gas-confined-space.json	$.props[13].label	Collapsed worker	ᱵᱮᱦᱳᱥ ᱠᱟᱹᱢᱤᱭᱟᱹ		
src/scenarios/gas-confined-space.json	$.props[14].label	Tool box	ᱚᱡᱟᱨ ᱯᱮᱴᱤ		
src/scenarios/gas-confined-space.json	$.props[15].label	Wheelbarrow	ᱴᱷᱮᱞᱟ		
src/scenarios/gas-confined-space.json	$.nodes[0].prompt.text	It is the {{shift}} shift. Your supervisor tells you to clean the settling sump. Do not touch anything yet. First, look carefully at everything around you.	ᱱᱚᱶᱟ {{shift}} ᱥᱤᱯᱷᱴ ᱠᱟᱱᱟ ᱾ ᱟᱢᱟᱜ ᱥᱩᱯᱚᱨᱵᱟᱭᱡᱚᱨ ᱟᱢ ᱥᱮᱴᱞᱤᱝ ᱥᱚᱢᱯ ᱥᱟᱯᱷᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱢᱮᱛᱟᱭᱟᱜᱼᱟ ᱾ ᱱᱤᱛᱚᱜ ᱚᱠᱛᱚ ᱵᱟᱭ ᱡᱚᱛᱚ ᱢᱮ ᱾ ᱯᱩᱭᱞᱩ, ᱟᱢᱟᱜ ᱪᱟᱨᱤᱭᱟᱜ ᱡᱤᱱᱤᱥ ᱠᱚ ᱥᱟᱶᱛᱮ ᱦᱮᱨ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[1].errors[0].consequence.text	You climbed in while you were still working out what this job was. Nothing had been checked, and nobody had been told.	ᱟᱢ ᱡᱟᱦᱟᱸ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱩᱱᱤ ᱵᱟᱭ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱮᱭᱟᱢ ᱟᱨ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱟᱢᱟ ᱾ ᱚᱠᱛᱚ ᱵᱟᱭ ᱠᱩᱞᱤ ᱠᱟᱱᱟ, ᱟᱨ ᱚᱠᱚᱭ ᱵᱟᱭ ᱠᱷᱚᱵᱚᱨ ᱟᱠᱟᱱᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[1].onTimeout.consequence.text	You did not register the confined space board. Every step after this one is now being taken blind.	ᱟᱢ ᱨᱩᱡᱩ ᱡᱟᱭᱜᱟ ᱵᱳᱨᱰ ᱵᱟᱭ ᱦᱮᱨᱠᱮᱫᱟ ᱾ ᱱᱚᱶᱟ ᱛᱟᱭᱚᱢ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚ ᱦᱚᱨᱟ ᱫᱚ ᱠᱟᱱᱟᱭ ᱵᱟᱭ ᱧᱮᱞ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤᱭᱟᱢᱟ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[2].prompt.text	Do not go near the sump yet. A spoken instruction is not enough — first, walk to the permit board and look at it.	ᱱᱤᱛᱚᱜ ᱥᱚᱢᱯ ᱥᱮᱴᱮᱨ ᱟᱠ ᱵᱟᱭ ᱪᱟᱞᱟᱠ ᱢᱮ ᱾ ᱠᱟᱛᱷᱟ ᱛᱮ ᱦᱩᱠᱩᱢ ᱫᱚ ᱵᱟᱭ ᱜᱟᱱᱚᱜ — ᱯᱩᱭᱞᱩ, ᱯᱟᱨᱢᱤᱴ ᱵᱳᱨᱰ ᱛᱮ ᱪᱟᱞᱟᱜ ᱢᱮ ᱟᱨ ᱦᱮᱨ ᱢᱮ ᱾		
src/scenarios/gas-confined-space.json	$.nodes[2].expect[0].label	Check the work permit	ᱠᱟᱹᱢᱤ ᱯᱟᱨᱢᱤᱴ ᱠᱩᱞᱤ ᱢᱮ		
src/scenarios/gas-confined-space.json	$.nodes[2].errors[0].consequence.text	You climbed in on a verbal order. No permit, no gas test, nobody watching the opening.	ᱟᱢ ᱠᱟᱛᱷᱟ ᱦᱩᱠᱩᱢ ᱛᱮ ᱨᱮᱭᱟᱜ ᱠᱮᱫᱟ ᱾ ᱚᱠᱛᱚ ᱯᱟᱨᱢᱤᱴ ᱵᱟᱝ, ᱚᱠᱛᱚ ᱜᱮᱥ ᱠᱩᱞᱤ ᱵᱟᱝ, ᱚᱠᱚᱭ ᱵᱟᱝ ᱠᱷᱩᱡᱽ ᱧᱮᱞ ᱛᱟᱦᱮᱸᱱᱟ ᱾		
